Price,Taxes,"outbound 1 airport departure","outbound 1 airport arrival","outbound 1 time departure","outbound 1 time arrival","outbound 1 flight number","outbound 2 airport departure","outbound 2 airport arrival","outbound 2 time departure","outbound 2 time arrival","outbound 2 flight number","inbound 1 airport departure","inbound 1 airport arrival","inbound 1 time departure","inbound 1 time arrival","inbound 1 flight number","inbound 2 airport departure","inbound 2 airport arrival","inbound 2 time departure","inbound 2 time arrival","inbound 2 flight number",Cheapest
684.13,325.13,MAD,AUH,"2024-02-09 14:00","2024-02-09 23:40",UX2703,-,-,-,-,-,AUH,MAD,"2024-02-16 07:30","2024-02-16 12:30",UX2702,-,-,-,-,-,Yes
2545.13,359.13,MAD,AUH,"2024-02-09 14:00","2024-02-09 23:40",UX2703,-,-,-,-,-,AUH,MAD,"2024-02-16 07:30","2024-02-16 12:30",UX2702,-,-,-,-,-,No
2545.13,359.13,MAD,AUH,"2024-02-09 14:00","2024-02-09 23:40",UX2703,-,-,-,-,-,AUH,MAD,"2024-02-16 07:30","2024-02-16 12:30",UX2702,-,-,-,-,-,No
4406.13,393.13,MAD,AUH,"2024-02-09 14:00","2024-02-09 23:40",UX2703,-,-,-,-,-,AUH,MAD,"2024-02-16 07:30","2024-02-16 12:30",UX2702,-,-,-,-,-,No
1632.79,428.79,JFK,MAD,"2024-02-09 22:05","2024-02-10 11:10",UX92,MAD,AUH,"2024-02-10 14:00","2024-02-10 23:40",UX2703,AUH,MAD,"2024-02-16 07:30","2024-02-16 12:30",UX2702,MAD,JFK,"2024-02-17 10:45","2024-02-17 13:30",UX3391,Yes
1703.79,428.79,JFK,MAD,"2024-02-09 22:05","2024-02-10 11:10",UX92,MAD,AUH,"2024-02-10 14:00","2024-02-10 23:40",UX2703,AUH,MAD,"2024-02-16 07:30","2024-02-16 12:30",UX2702,MAD,JFK,"2024-02-17 10:45","2024-02-17 13:30",UX3391,No
1703.79,428.79,JFK,MAD,"2024-02-09 22:05","2024-02-10 11:10",UX92,MAD,AUH,"2024-02-10 14:00","2024-02-10 23:40",UX2703,AUH,MAD,"2024-02-16 07:30","2024-02-16 12:30",UX2702,MAD,JFK,"2024-02-17 10:45","2024-02-17 13:30",UX3391,No
1774.79,428.79,JFK,MAD,"2024-02-09 22:05","2024-02-10 11:10",UX92,MAD,AUH,"2024-02-10 14:00","2024-02-10 23:40",UX2703,AUH,MAD,"2024-02-16 07:30","2024-02-16 12:30",UX2702,MAD,JFK,"2024-02-17 10:45","2024-02-17 13:30",UX3391,No
4019.89,808.89,JFK,MAD,"2024-02-09 22:05","2024-02-10 11:10",UX92,MAD,AUH,"2024-02-10 14:00","2024-02-10 23:40",UX2703,AUH,MAD,"2024-02-16 07:30","2024-02-16 12:30",UX2702,MAD,JFK,"2024-02-17 10:45","2024-02-17 13:30",UX3391,No
4090.89,808.89,JFK,MAD,"2024-02-09 22:05","2024-02-10 11:10",UX92,MAD,AUH,"2024-02-10 14:00","2024-02-10 23:40",UX2703,AUH,MAD,"2024-02-16 07:30","2024-02-16 12:30",UX2702,MAD,JFK,"2024-02-17 10:45","2024-02-17 13:30",UX3391,No
4289.89,808.89,JFK,MAD,"2024-02-09 22:05","2024-02-10 11:10",UX92,MAD,AUH,"2024-02-10 14:00","2024-02-10 23:40",UX2703,AUH,MAD,"2024-02-16 07:30","2024-02-16 12:30",UX2702,MAD,JFK,"2024-02-17 10:45","2024-02-17 13:30",UX3391,No
4359.89,808.89,JFK,MAD,"2024-02-09 22:05","2024-02-10 11:10",UX92,MAD,AUH,"2024-02-10 14:00","2024-02-10 23:40",UX2703,AUH,MAD,"2024-02-16 07:30","2024-02-16 12:30",UX2702,MAD,JFK,"2024-02-17 10:45","2024-02-17 13:30",UX3391,No
4461.89,808.89,JFK,MAD,"2024-02-09 19:30","2024-02-10 08:45",UX3392,MAD,AUH,"2024-02-10 14:00","2024-02-10 23:40",UX2703,AUH,MAD,"2024-02-16 07:30","2024-02-16 12:30",UX2702,MAD,JFK,"2024-02-17 10:45","2024-02-17 13:30",UX3391,No
4532.89,808.89,JFK,MAD,"2024-02-09 19:30","2024-02-10 08:45",UX3392,MAD,AUH,"2024-02-10 14:00","2024-02-10 23:40",UX2703,AUH,MAD,"2024-02-16 07:30","2024-02-16 12:30",UX2702,MAD,JFK,"2024-02-17 10:45","2024-02-17 13:30",UX3391,No
